Robotique,Capable de modifier et de réparer des systèmes robotiques avec un test de Sag,Ingénieur voie du mécanicien,,,,,,Guerrier-griffe,"Équipé de griffe/gant, le perso peut se déplacer au corps à corps d'un ennemi gratuitement (distance: 2 AM) et +3 deg si l'ennemi est en posture offensive.","Classe:
Troubadour/Voleur/Barbarde"
Maître arcaniste,+4 deg sur les sorts élèmentaires du personnage,Magicien voie de l'arcane,,,,,,Hacheur sanguinaire,+6 deg🎲 à chaque attaque réussi avec une hache,"Classe:
Paladins/Soldat/Voleur"
Avatar,Maîtrise les 4 élèments primaires et +4 deg lorsque le perso utilise un élèment opposé à l'adversaire pour attaquer,Magicien voie de l'élèmentaire,,,,,,Incantateur ,+2 au test de lancement de sors quand le perso est équipé d'un catalyseur,Catalyseur: Septre/Grimoire/Gemme/etc...               Classe : Healer/Sorcier/Troubadour
Arcane perdu,"Peut utiliser des sorts non élèmentaires
(-2 incantations)",Magicien voie de l'orginal,,,,,,Incantation rapide,Gagne une AL quand un sort est réussi. une fois par tour,"Classe:
Sorcier"
Solidarité,Gagne le nombre de dég 🎲 pour chaque PV Allié perdu,Paladins voie de la colère,,,,,,Intimidation,+2 au test d'intimidation,"Classe:
Toutes "
Bienfaiteur,+4 en Phy pour la défense d'un alliée,Paladins voie de l'héroïsme,,,,,,Modélisation,+ 2 au test pour la modification d'un item crée par magie ,"Classe:
Archer/Druide/Sorcier"
Supervision,"Chaque allié présent sur le champ de bataille
gagne +3 d'éfficacité des soin et des buffs",Paladins voie du Leader,,,,,,Nyctalopie,Vision nocturne (+5 test observation dans le noir),"Classe:
Toutes"
Maître d'arme,"Ignore tous les malus d'équipement. De plus, Après avoir réussi une attaque sur un ennemi, il peut faire un test de Dex pour attaquer à noueau",Soldat voie de l'adaptation,,,,,,Perspicacité,+3 sur les tests consistant à découvrire un secret ,"Classe:
Toutes"
Havre sac,Inventaire illimité et +2 deg ,Soldat voie de l'écuyer,,,,,,Phare,Manifestation de Magie qui émet une lumière qui aide à voir mieux dans la pénombre.,"Classe:
Toutes sauf Soldat"
Volonté,Ignore tous les malus de contrôle mental et +1 deg pour chaque ennemi de trop par rapport à son équipe,Soldat voie du courage,,,,,,Porte-bouclier,Suprime une AL à l'ennemi si le perso utilise un bouclier pour attaquer,"Classe:
Paladin"
Hurleur,"Affaiblit les ennemis lorsqu'une compétence du personnage les blesse (+6 deg 🎲 uniquement au prochain coup sur l'ennemi, les alliés profitent du bonus).(non cumulable) ",Troubadour voie de la banshee,,,,,,Robuste,-2 deg reçus,"Classe:
Paladins"
Diva,Les compétences de soin et de buff deviennent des compétences de zone avec un +2 d'efficacité.,Troubadour voie de la berceuse,,,,,,Sabotage," Lorsque le perso fait une action en défaveur de son équipe, il gagne 1 point de sabotage (adaptable). Utilise 2 point de sobatage pour gagner +1 au prochain test  (cumulable jusqu'à 10). ","Classe:
Toutes sauf Épéiste"
Beau parleur,"+4 au test dicussion. (Négociation, Séduction, Intimidation,...)",Troubadour voie de l'éloquence,, ,,,,Samaritain,+3 sur les tests des actions de soutien.,"Classe:
Toutes sauf Voleur"
Assasin,+4 pour toute action réalisé en toute discrétion,Voleur voie des ombres,,,,,,Synchro arcanique,le perso peut prendre des dégâts magiques à la place de dégâts de santé.,"Classe:
Ingénieur/Healer/Sorcier"
Richesse inattendue,Gagne +150% d'argent que les autres,Voleur voie du bénéfice,,,,,,Pas de côté,Consomme 1 AM pour obtenir +2 au test d'esquive,"Classe:
Barbarde/Troubadour/Voleur/Épéiste"
Main de velour,+4 au test de vole à la tire ,Voleur voie du vole à la tire,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Métamorphe,,,,,,,,,
Souris,5PV 0VA /Phy:10 Dex:90 Sag:80 / 2d🎲 deg ( sort dps div 4),,,,,,,,,
Ours,20PV 8VA /Phy:90 Dex:70 Sag:20/ 8*2d🎲deg (Couts des sorts *2),,,,,,,,,
Cheval,12PV 3VA/Phy:60 Dex 90 Sag:50/ 8d🎲deg (Incantation discrète),,,,,,,,,
